name,types
Michie Tavern ca. 1784,"restaurant, tourist_attraction, liquor_store, bar, food, store, point_of_interest, establishment"
The Local,"bar, restaurant, food, point_of_interest, establishment"
Beer Run,"restaurant, liquor_store, bar, food, store, point_of_interest, establishment"
Belmont Pizza & Pub,"meal_takeaway, bar, meal_delivery, restaurant, food, point_of_interest, establishment"
Mas,"restaurant, food, point_of_interest, establishment"
C & O,"bar, restaurant, food, point_of_interest, establishment"
La Guadalupana Latino Market,"grocery_or_supermarket, restaurant, food, store, point_of_interest, establishment"
The Red Lantern,"restaurant, food, point_of_interest, establishment"
Guadalajara,"restaurant, food, point_of_interest, establishment"
South Street Brewery,"bar, restaurant, food, point_of_interest, establishment"
Pad Thai,"restaurant, food, point_of_interest, establishment"
The Nook,"bar, restaurant, food, point_of_interest, establishment"
Ten,"restaurant, food, point_of_interest, establishment"
Tavola,"liquor_store, bar, restaurant, food, store, point_of_interest, establishment"
Citizen Burger Bar,"bar, restaurant, food, point_of_interest, establishment"
Twisted Branch Tea Bazaar,"cafe, restaurant, food, point_of_interest, establishment"
Rapture Restaurant,"restaurant, bar, night_club, food, point_of_interest, establishment"
Tastings of Charlottesville,"liquor_store, bar, restaurant, food, store, point_of_interest, establishment"
Zocalo,"bar, restaurant, food, point_of_interest, establishment"
Sal's Caffe Italia,"meal_takeaway, bar, restaurant, food, point_of_interest, establishment"
Michie Tavern ca. 1784,"restaurant, liquor_store, tourist_attraction, bar, store, point_of_interest, food, establishment"
The Local,"bar, restaurant, point_of_interest, food, establishment"
Beer Run,"restaurant, liquor_store, bar, store, point_of_interest, food, establishment"
Belmont Pizza & Pub,"meal_delivery, bar, meal_takeaway, restaurant, point_of_interest, food, establishment"
Mas,"restaurant, point_of_interest, food, establishment"
La Guadalupana Latino Market,"grocery_or_supermarket, store, restaurant, point_of_interest, food, establishment"
The Red Lantern,"restaurant, point_of_interest, food, establishment"
C & O,"bar, restaurant, point_of_interest, food, establishment"
Pad Thai,"restaurant, point_of_interest, food, establishment"
Guadalajara,"restaurant, point_of_interest, food, establishment"
Tavola,"liquor_store, bar, store, restaurant, point_of_interest, food, establishment"
Moose's By The Creek,"restaurant, point_of_interest, food, establishment"
Cactus Mexican Restaurant,"restaurant, point_of_interest, food, establishment"
FIREFLY Restaurant + Game Room,"bar, restaurant, point_of_interest, food, establishment"
Southern Crescent Galley and Bar,"restaurant, point_of_interest, food, establishment"
Lampo Neapolitan Pizzeria,"restaurant, point_of_interest, food, establishment"
Brazos Tacos,"restaurant, point_of_interest, food, establishment"
Wooden Sun,"home_goods_store, store, restaurant, point_of_interest, food, establishment"
The Melting Pot,"restaurant, point_of_interest, food, establishment"
Domino's Pizza,"meal_delivery, meal_takeaway, restaurant, point_of_interest, food, establishment"
