name,rating,lat,lng,vicinity,price_level,types,user_ratings_total
Subway,3.8,38.012863,-78.50342119999999,"1141 5th Street Ext, Unit 1141, Charlottesville",1,"meal_takeaway, restaurant, food, point_of_interest, establishment",86
Domino's Pizza,3.7,38.0127715,-78.50352699999999,"1147 5th Street Southwest, Charlottesville",1,"meal_delivery, meal_takeaway, restaurant, food, point_of_interest, establishment",261
Jade Garden,3.6,38.01297359999999,-78.503222,"1139 5th Street Southwest, Charlottesville",1,"restaurant, food, point_of_interest, establishment",133
Michie Tavern ca. 1784,4.6,38.0087286,-78.46370309999999,"683 Thomas Jefferson Parkway, Charlottesville",2,"restaurant, tourist_attraction, liquor_store, bar, point_of_interest, store, food, establishment",3245
The Local,4.4,38.0245847,-78.4754777,"824 Hinton Avenue, Charlottesville",2,"bar, restaurant, point_of_interest, food, establishment",759
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, point_of_interest, food, establishment",603
Beer Run,4.5,38.02458719999999,-78.4685083,"156 Carlton Road Ste 203, Charlottesville",2,"restaurant, liquor_store, bar, point_of_interest, store, food, establishment",1199
Belmont Pizza & Pub,4.3,38.0240274,-78.4690459,"10, 5975, 221 Carlton Road, Charlottesville",1,"meal_delivery, bar, meal_takeaway, restaurant, point_of_interest, food, establishment",371
La Guadalupana Latino Market,4.2,38.0230518,-78.47049030000001,"221 Carlton Road #15, Charlottesville",N/A,"grocery_or_supermarket, restaurant, point_of_interest, store, food, establishment",126
The Red Lantern,3.9,38.02318449999999,-78.4703777,"221 Carlton Road #16, Charlottesville",1,"restaurant, point_of_interest, food, establishment",368
Pad Thai,4.4,38.0246433,-78.4684802,"156 Carlton Road #202, Charlottesville",2,"restaurant, point_of_interest, food, establishment",127
Tavola,4.6,38.0245413,-78.47537489999999,"826 Hinton Avenue, Charlottesville",3,"liquor_store, bar, restaurant, point_of_interest, store, food, establishment",607
Moose's By The Creek,4.7,38.0138711,-78.4736381,"1710 Monticello Road, Charlottesville",1,"restaurant, point_of_interest, food, establishment",1081
Cactus Mexican Restaurant,4.2,38.0229822,-78.47019399999999,"221 Carlton Road, Charlottesville",2,"restaurant, point_of_interest, food, establishment",298
Southern Crescent Galley and Bar,4.3,38.0246928,-78.4759035,"814 Hinton Avenue, Charlottesville",2,"restaurant, point_of_interest, food, establishment",150
Wooden Sun,4.4,38.0184558,-78.4866472,"1524 Rosa Terrace, Charlottesville",N/A,"home_goods_store, restaurant, point_of_interest, store, food, establishment",41
Brazos Tacos,4.4,38.02475929999999,-78.4829253,"925 2nd Street Southeast, Charlottesville",1,"restaurant, point_of_interest, food, establishment",1036
Panera Bread,3.7,38.0114091,-78.49838679999999,"405 Merchant Walk Square Bldg 1800, Charlottesville",2,"cafe, meal_takeaway, bakery, restaurant, point_of_interest, store, food, establishment",453
Jersey Mike's Subs,4.4,38.01034669999999,-78.4987987,"265 Merchant Walk Avenue Suite 1004, Charlottesville",1,"meal_takeaway, restaurant, point_of_interest, store, food, establishment",683
Canelo's Burritos,N/A,38.0216998,-78.4701927,"308B Carlton Road, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",N/A
Spencer party,N/A,38.0244641,-78.4755275,"824 Hinton Avenue, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",N/A
Mockingbird,4.6,38.0245712,-78.47495049999999,"421 Monticello Road, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",132
CONMOLE,4.7,38.024679,-78.4757654,"816 Hinton Avenue, Charlottesville",N/A,"restaurant, point_of_interest, food, establishment",159
Michie Tavern ca. 1784,4.6,38.0087286,-78.46370309999999,"683 Thomas Jefferson Parkway, Charlottesville",2,"restaurant, tourist_attraction, liquor_store, bar, store, food, point_of_interest, establishment",3245
The Local,4.4,38.0245847,-78.4754777,"824 Hinton Avenue, Charlottesville",2,"bar, restaurant, food, point_of_interest, establishment",759
Beer Run,4.5,38.02458719999999,-78.4685083,"156 Carlton Road Ste 203, Charlottesville",2,"restaurant, liquor_store, bar, store, food, point_of_interest, establishment",1199
Belmont Pizza & Pub,4.3,38.0240274,-78.4690459,"10, 5975, 221 Carlton Road, Charlottesville",1,"meal_takeaway, bar, meal_delivery, restaurant, food, point_of_interest, establishment",371
Mas,4.4,38.0242534,-78.4742108,"904 Monticello Road, Charlottesville",3,"restaurant, food, point_of_interest, establishment",603
La Guadalupana Latino Market,4.2,38.0230518,-78.47049030000001,"221 Carlton Road #15, Charlottesville",N/A,"grocery_or_supermarket, restaurant, store, food, point_of_interest, establishment",126
The Red Lantern,3.9,38.02318449999999,-78.4703777,"221 Carlton Road #16, Charlottesville",1,"restaurant, food, point_of_interest, establishment",368
Pad Thai,4.4,38.0246433,-78.4684802,"156 Carlton Road #202, Charlottesville",2,"restaurant, food, point_of_interest, establishment",127
Tavola,4.6,38.0245413,-78.47537489999999,"826 Hinton Avenue, Charlottesville",3,"liquor_store, bar, restaurant, store, food, point_of_interest, establishment",607
